globaleventid,sqldate,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl
1132926810,20231012,202310,2023,2023.7726,CVL,COMMUNITY,,,,,,CVL,,,USA,UNITED STATES,USA,,,,,,,,1,090,090,09,2,-2.0,4,1,4,-5.88235294117647,3,"Dauphin County, Pennsylvania, United States",US,USPA,40.6279,-76.7525,1213667,3,"Dauphin County, Pennsylvania, United States",US,USPA,40.6279,-76.7525,1213667,3,"Dauphin County, Pennsylvania, United States",US,USPA,40.6279,-76.7525,1213667,20231012,https://fox56.com/news/local/deaths-of-schuylkill-county-teens-ruled-as-homicide
1132937829,20231012,202310,2023,2023.7726,USA,UNITED STATES,USA,,,,,,,,JOR,JORDAN,JOR,,,,,,,,0,020,020,02,1,3.0,2,1,2,-5.94059405940594,3,"Fulton County, Georgia, United States",US,USGA,33.7668,-84.4499,1694833,3,"Fulton County, Georgia, United States",US,USGA,33.7668,-84.4499,1694833,3,"Fulton County, Georgia, United States",US,USGA,33.7668,-84.4499,1694833,20231012,https://news.yahoo.com/fulton-county-da-refuses-jim-174843636.html
1132948321,20231012,202310,2023,2023.7726,GOV,PRESIDENT,,,,,,GOV,,,AZEGOV,AZERBAIJAN,AZE,,,,,GOV,,,1,040,040,04,1,1.0,10,1,10,2.23214285714286,1,Azerbaijan,AJ,AJ,40.5,47.5,AJ,1,Azerbaijan,AJ,AJ,40.5,47.5,AJ,1,Azerbaijan,AJ,AJ,40.5,47.5,AJ,20231012,https://en.apa.az/official-news/president-of-azerbaijan-ilham-aliyevs-meeting-with-president-of-russia-vladimir-putin-is-underway-in-bishkek-updated-1-414064
1132948635,20231012,202310,2023,2023.7726,ISR,ISRAEL,ISR,,,,,,,,USA,WASHINGTON,USA,,,,,,,,0,042,042,04,1,1.9,8,1,8,-8.05369127516779,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,3,"Washington Square Park, New York, United States",US,USNY,40.7309,-73.9976,968870,3,"Washington Square Park, New York, United States",US,USNY,40.7309,-73.9976,968870,20231012,https://www.nytimes.com/2023/10/12/nyregion/columbia-university-israel-hamas-protests.html
1132986370,20231012,202310,2023,2023.7726,MOS,ISLAMIC,,,,MOS,,,,,MOS,MUSLIM,,,,MOS,,,,,1,020,020,02,1,3.0,5,1,5,-1.84331797235023,2,"Tennessee, United States",US,USTN,35.7449,-86.7489,TN,2,"Tennessee, United States",US,USTN,35.7449,-86.7489,TN,2,"Tennessee, United States",US,USTN,35.7449,-86.7489,TN,20231012,https://whatdidyousay.org/tag/dod/
1132991194,20231013,202310,2023,2023.7753,ISRGOV,ISRAELI,ISR,,,,,GOV,,,PSE,PALESTINIAN,PSE,,,,,,,,1,010,010,01,1,0.0,32,9,32,-6.19267718209365,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20231013,https://www.breitbart.com:443/national-security/2023/10/12/photos-hamas-attack-manual-discovered-plan-for-raid-hostages-since-2022/
1133014535,20231013,202310,2023,2023.7753,FRA,FRENCH,FRA,,,,,,,,FRAMIL,FRANCE,FRA,,,,,MIL,,,1,046,046,04,1,7.0,2,1,2,3.02325581395348,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,20231013,https://kashmirreader.com/2023/10/13/india-france-looking-at-taking-strategic-partnership-to-newer-heights-rajnath/
1133017845,20231013,202310,2023,2023.7753,MED,JOURNALIST,,,,,,MED,,,UAF,GUNMEN,,,,,,UAF,,,0,020,020,02,1,3.0,6,1,6,-4.82456140350878,4,"Nahal Oz, HaDarom, Israel",IS,IS01,31.4732,34.4978,-780808,4,"Nahal Oz, HaDarom, Israel",IS,IS01,31.4732,34.4978,-780808,4,"Nahal Oz, HaDarom, Israel",IS,IS01,31.4732,34.4978,-780808,20231013,https://www.telegraphindia.com/world/israel-ziv-retired-israeli-army-general-takes-heroic-step-to-gun-down-hamas-militants/cid/1973003
1133027740,20231013,202310,2023,2023.7753,ISRMIL,ISRAEL,ISR,,,,,MIL,,,USA,THE US,USA,,,,,,,,0,043,043,04,1,2.8,2,1,2,-6.45438898450947,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20231013,https://www.abc.net.au/news/2023-10-12/israel-prepares-ground-manoeuvre-against-hamas-gaza-invasion/102971498
1133030272,20231013,202310,2023,2023.7753,CHE,GENEVA,CHE,,,,,,,,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,0,040,040,04,1,1.0,30,3,30,-8.5206239453639,4,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801546,4,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801546,4,"Beirut, Beyrouth, Lebanon",LE,LE04,33.8719,35.5097,-801546,20231013,https://article.wn.com/view/2023/10/13/Israel_White_Phosphorus_Used_in_Gaza_Lebanon/
1133036821,20231013,202310,2023,2023.7753,CVL,INDIGENOUS PEOPLE,,,,,,CVL,,,,,,,,,,,,,0,051,051,05,1,3.4,2,1,2,-4.39068100358423,4,"Yass, New South Wales, Australia",AS,AS02,-34.8404,148.91,-1611784,0,,,,,,,1,Israel,IS,IS,31.5,34.75,IS,20231013,https://www.yasstribune.com.au/story/8385098/did-albanese-realise-what-a-rough-journey-this-referendum-would-be/?cs=2732
1133048165,20231013,202310,2023,2023.7753,ISR,ISRAELI,ISR,,,,,,,,NLDEDU,THE NETHERLAND,NLD,,,,,EDU,,,0,010,010,01,1,0.0,2,1,2,-10.1376720901127,1,Israel,IS,IS,31.5,34.75,IS,1,Israel,IS,IS,31.5,34.75,IS,1,Netherlands,NL,NL,52.5,5.75,NL,20231013,https://www.scmp.com/comment/opinion/article/3237745/hamas-attack-israel-reminds-asia-need-peaceful-cohabitation
1133052305,20231013,202310,2023,2023.7753,,,,,,,,,,,KEN,NAKURU,KEN,,,,,,,,1,036,036,03,1,4.0,8,1,8,0,0,,,,,,,4,"Lake Nakuru, Rift Valley, Kenya",KE,KE08,-0.35703,36.093,-2258198,4,"Lake Nakuru, Rift Valley, Kenya",KE,KE08,-0.35703,36.093,-2258198,20231013,https://nation.africa/kenya/health/the-slow-death-of-lake-nakuru-4394984
1133052393,20231013,202310,2023,2023.7753,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,SAU,SAUDI ARABIA,SAU,,,,,,,,1,040,040,04,1,1.0,2,1,2,3,4,"Grand Mosque, Dubayy, United Arab Emirates",AE,AE03,25.2644,55.2969,11427565,4,"Makkah, Makkah, Saudi Arabia",SA,SA14,21.4267,39.8261,-3096949,4,"Makkah, Makkah, Saudi Arabia",SA,SA14,21.4267,39.8261,-3096949,20231013,https://pakobserver.net/nawaz-sharif-performs-umrah-expected-to-hold-key-meetings-in-saudi-arabia/
1133091801,20231013,202310,2023,2023.7753,FRA,FRANCE,FRA,,,,,,,,NLD,THE NETHERLAND,NLD,,,,,,,,0,020,020,02,1,3.0,3,2,3,1.0707919531449,1,France,FR,FR,46,2,FR,1,Belgium,BE,BE,50.833333,4,BE,1,Netherlands,NL,NL,52.5,5.75,NL,20231013,https://news.yahoo.com/why-most-women-still-husband-093000428.html
1133115863,20231013,202310,2023,2023.7753,GOVMIL,SECRETARY OF DEFENSE,,,,,,GOV,MIL,,,,,,,,,,,,1,020,020,02,1,3.0,24,3,24,4.08912491341492,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,0,,,,,,,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20231013,https://www.army-technology.com/news/signal-czech-republic-denmark-and-netherlands-forge-pact-to-bolster-ukraines-defence/
1133122269,20231013,202310,2023,2023.7753,,,,,,,,,,,USA,ORLANDO,USA,,,,,,,,1,013,013,01,1,0.4,3,1,3,3.60065466448445,0,,,,,,,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,5,"Gauteng, Gauteng, South Africa",SF,SF06,-26.0833,28.25,204226,20231013,https://www.iol.co.za/the-star/news/people-of-soweto-turn-up-in-numbers-to-phelophepa-mobile-health-train-de593c83-78b3-4408-bdb9-38fe59777f19
1133136281,20231013,202310,2023,2023.7753,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,1823,182,18,4,-10.0,2,1,2,-6.30705394190871,0,,,,,,,3,"Springfield, Missouri, United States",US,USMO,37.2153,-93.2982,735864,2,"Missouri, United States",US,USMO,38.4623,-92.302,MO,20231013,https://www.dexerto.com/tv-movies/prison-confessions-gypsy-rose-blanchard-dee-dee-release-2335261/
1133139449,20231013,202310,2023,2023.7753,,,,,,,,,,,AUS,VICTORIA,AUS,,,,,,,,1,100,100,10,3,-5.0,12,2,12,3.81852414506432,0,,,,,,,4,"Victoria Falls, Matabeleland North, Zimbabwe",ZI,ZI06,-17.9235,25.843,-2323247,4,"Victoria Falls, Matabeleland North, Zimbabwe",ZI,ZI06,-17.9235,25.843,-2323247,20231013,https://www.newsday.co.zw/theindependent/lifestyle-amp-arts/article/200017996/food-travel-french-speaking-market-catches-aats-attention
1133140965,20231013,202310,2023,2023.7753,NGOUSAJEW,AMIT,USA,,,JEW,,NGO,,,IND,DELHI,IND,,,,,,,,1,173,173,17,4,-5.0,1,1,1,-10.1769911504425,1,China,CH,CH,35,105,CH,1,China,CH,CH,35,105,CH,1,China,CH,CH,35,105,CH,20231013,https://www.news18.com/india/newsclick-row-delhi-hc-dismisses-portal-founders-plea-challenging-arrest-in-uapa-case-8615448.html
1133150209,20231013,202310,2023,2023.7753,LEG,PARLIAMENT,,,,,,LEG,,,,,,,,,,,,,1,010,010,01,1,0.0,5,1,5,-3.03030303030303,1,Canada,CA,CA,60,-96,CA,0,,,,,,,1,Canada,CA,CA,60,-96,CA,20231013,https://www.bnnbloomberg.ca/supreme-court-of-canada-voids-most-of-trudeau-environment-law-1.1984324
1133155438,20231013,202310,2023,2023.7753,EDU,UNIVERSITY,,,,,,EDU,,,IGOUNOLABILO,INTERNATIONAL LABOUR ORGANIZATION,,UNO,,,,IGO,LAB,,1,057,057,05,1,8.0,10,1,10,3.30739299610895,1,Jamaica,JM,JM,18.25,-77.5,JM,1,Jamaica,JM,JM,18.25,-77.5,JM,1,Jamaica,JM,JM,18.25,-77.5,JM,20231013,https://brocku.ca/brock-news/2023/10/brock-researcher-delivers-report-on-domestic-workers-rights-in-jamaica/
1133181398,20231013,202310,2023,2023.7753,USA,UNITED STATES,USA,,,,,,,,MDV,MALE,MDV,,,,,,,,1,173,173,17,4,-5.0,6,1,6,-9.74025974025974,3,"Allen County, Indiana, United States",US,USIN,41.0706,-85.0144,450402,3,"Fort Wayne Fire Department, Indiana, United States",US,USIN,41.0701,-85.1346,2701493,3,"Allen County, Indiana, United States",US,USIN,41.0706,-85.0144,450402,20231013,https://963xke.com/2023/10/13/allen-county-jail-inmate-hospitalized-after-suicide-attempt/
